loc,description,url_to_write_on_tag
LOC01,Entry Climb,https://zilla715.github.io/Adventure-Quest/index.html?park=123&loc=LOC01
LOC02,Upper Deck,https://zilla715.github.io/Adventure-Quest/index.html?park=123&loc=LOC02
LOC03,Lookout Corner,https://zilla715.github.io/Adventure-Quest/index.html?park=123&loc=LOC03
LOC04,Bridge or Net,https://zilla715.github.io/Adventure-Quest/index.html?park=123&loc=LOC04
LOC05,Climber Feature,https://zilla715.github.io/Adventure-Quest/index.html?park=123&loc=LOC05
LOC06,Tunnel or Pass Through,https://zilla715.github.io/Adventure-Quest/index.html?park=123&loc=LOC06
LOC07,Under Deck or Low Crawl,https://zilla715.github.io/Adventure-Quest/index.html?park=123&loc=LOC07
LOC08,Slide Entrance,https://zilla715.github.io/Adventure-Quest/index.html?park=123&loc=LOC08
LOC09,Slide Exit,https://zilla715.github.io/Adventure-Quest/index.html?park=123&loc=LOC09
LOC10,Spinner or Motion Feature,https://zilla715.github.io/Adventure-Quest/index.html?park=123&loc=LOC10
